City,State,Country,NumUsers,PayrollLast90,HasAutoPilot,Sales45,GoalCheck,StaffSalaries,MarketingROISource,EmailReports,AvgNoLoginsDay30,SalesMixActive,ConsistencyActive,DecathlonActive,CompApplied,ManualQuotes,ManualActivities,ECRMQuotes,ECRMActivities,SalesTrackMod,ActivityTrackMod,BasicCompMod,CompUpTo10Mod,PremiumCompMod,PremiumBuilderMod,ROIMod,AspirantMod,EmailReportMod,PointsMod,VitalStatsMod,GoalsMod,BusinessUnitMod,ShowModifyCompPlanMod
Jackson,CA,USA,10,5,10,10,10,0,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,7,5,0,10,10,0,5,5,20,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Grand Junciton,NULL,USA,7,5,10,10,10,5,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Joplin,MO,USA,5,5,10,10,10,0,5,5,20,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Dover,DE,USA,5,5,10,10,10,0,5,5,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Davie,FL,USA,12,5,10,10,10,0,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,0,0,10,10,5,5,0,20,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Bakersfield,CA,USA,3,5,10,10,10,0,5,5,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Scarsdale,NY,USA,4,0,0,10,10,0,5,5,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Denver,CO,USA,3,5,0,10,10,5,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,0,0,10,10,5,5,0,20,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,10,10,10,0,5,5,20,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,10,10,10,0,5,0,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,0,10,10,5,5,0,20,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Bellevue,WA,USA,7,5,10,10,10,0,5,5,20,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,10,5,10,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Jackson,MS,USA,5,5,10,10,10,5,5,5,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Glendale ",AZ,USA,18,5,10,10,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Jeanerette,LA,USA,4,5,10,10,10,0,5,5,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
houston,TX,USA,8,5,10,10,10,0,5,0,20,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Victorville,CA,USA,5,5,10,10,10,0,5,0,20,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,0,0,10,10,5,5,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Paramount,CA,USA,8,0,0,10,10,0,5,5,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Tannersville,PA,USA,5,5,10,10,10,5,5,5,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
,,,6,5,10,10,10,0,5,5,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Macomb,MI,USA,4,5,10,10,10,5,5,5,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Liberty,NC,USA,6,5,0,10,10,5,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
WALLA WALLA,WA,USA,4,5,10,10,10,0,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Cibolo,TX,USA,15,5,0,10,10,5,5,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Niagra Fall,NY,USA,4,5,10,10,10,0,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,5,10,0,10,0,5,0,0,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Palm Coast,FL,USA,5,5,0,10,10,0,5,0,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Shreveport,LA,USA,4,5,10,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
San Diego,CA,USA,2,5,0,10,10,0,5,5,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Noblesville,IN,USA,2,5,10,10,10,5,5,5,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
League City,TX,USA,4,5,10,10,10,0,5,0,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Cypress,TX,USA,8,5,0,10,10,0,5,5,20,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Poway,CA,USA,10,5,10,10,10,5,5,0,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,5,0,10,10,0,5,0,20,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Las Vegas,NV,USA,8,0,0,0,0,0,0,0,0,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Smyrna ",DE,USA,5,5,10,10,10,5,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,0,10,10,0,5,5,20,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Plantation,FL,USA,7,5,10,10,10,0,5,5,20,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Pikeville,KY,USA,4,5,10,10,10,0,5,0,20,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Riverwoods,IL,USA,8,0,0,10,10,0,5,5,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Batavia,IL,USA,4,5,10,10,10,0,5,5,20,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Lafayette,LA,USA,7,5,10,10,10,0,5,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,10,10,10,5,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Lafayette,LA,USA,10,5,0,10,10,0,5,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
houston,TX,USA,5,5,0,10,10,0,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Fresno,CA,USA,7,5,0,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,12,5,0,10,10,0,5,5,20,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
warren,MI,USA,3,5,10,10,10,5,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,7,5,10,10,10,0,5,0,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
VALENCIA,CA,USA,10,5,10,10,10,0,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Sewickley,PA,USA,6,5,0,10,10,0,5,0,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Crestview Hills,KY,USA,4,5,10,10,10,5,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Butte,MT,USA,5,5,0,10,10,5,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Greenville,MS,USA,3,5,0,10,10,5,5,5,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Dallas,TX,USA,10,5,0,10,10,5,5,5,20,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Roswell,GA,USA,4,5,0,10,10,0,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Jacksonville,FL,USA,17,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Kimberly,AL,USA,NULL,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Cerritos,CA,USA,4,5,0,10,10,5,5,5,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Kimberling City ",MO,USA,6,5,10,10,10,0,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
concord,OH,USA,6,5,0,10,10,5,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Philadelphia,PA,USA,13,5,0,10,10,5,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Houston,TX,USA,6,5,10,10,10,0,5,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Santa Rosa,CA,USA,6,5,0,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,1,0,0,0,10,0,5,0,0,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,0,0,0,10,5,5,0,0,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Indianapolis,IN,USA,5,0,0,10,10,0,5,5,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Coral Gables,FL,USA,10,5,10,10,10,0,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Lees Summit,MO,USA,4,5,0,10,10,5,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Columbia,MD,USA,9,5,0,10,10,5,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Compton ",CA,USA,7,5,10,10,10,0,5,0,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Bellevue,WA,USA,6,5,10,10,10,5,5,5,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
SANTA MARIA,CA,USA,4,5,10,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
springfield,MO,USA,3,0,0,10,10,0,5,0,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,10,10,10,0,5,5,20,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,0,0,10,10,5,5,5,0,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Charlotte,NC,USA,6,5,0,10,10,5,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Belleville,IL,USA,5,5,10,10,10,5,5,0,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Farmington Hills,MI,USA,5,5,10,10,0,0,0,5,0,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Jennings,LA,USA,8,5,10,0,0,0,0,0,0,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,10,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Columbia,MO,USA,6,5,0,10,10,5,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ruston,LA,USA,9,5,10,10,10,0,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Statesboro,GA,USA,7,5,0,10,10,0,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
WILMINGTON,DE,USA,4,5,10,10,10,5,5,5,20,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Oak Harbor,WA,USA,4,5,10,10,10,0,5,0,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Charleston,SC,USA,6,0,10,10,10,0,5,5,20,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Charleston,SC,USA,3,5,10,10,10,5,5,0,20,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
columbia,SC,USA,7,5,10,10,10,0,5,0,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Newport Beach,CA,USA,6,0,0,10,10,5,5,5,20,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
West Palm Beach,FL,USA,5,5,0,10,10,0,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Humble,TX,USA,15,5,10,10,10,0,5,5,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Katy,TX,USA,5,5,10,10,10,0,5,5,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Tampa,FL,USA,11,5,10,10,10,0,5,0,20,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Meadville,PA,USA,6,5,10,10,10,0,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,0,10,10,5,5,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Waxhaw,NC,USA,6,5,0,10,10,0,5,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,0,0,10,10,0,5,5,20,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,USA,4,5,0,10,10,5,5,0,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Las Vegas,NV,USA,11,5,10,10,10,0,5,0,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
katy,TX,USA,5,5,0,10,10,5,5,5,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,10,10,10,5,5,5,20,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,0,10,10,5,5,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,0,0,10,10,0,5,0,20,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,0,0,10,10,0,5,0,20,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Billings,MT,USA,5,5,10,10,10,0,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,0,0,10,10,0,5,5,20,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,0,0,10,10,0,5,5,20,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,0,10,10,0,5,5,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
longmont,CO,USA,12,5,10,10,10,5,5,0,20,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Chicago,IL,USA,3,5,0,10,10,0,5,5,20,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,8,5,10,10,10,5,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,10,0,0,0,0,0,0,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Baton Rouge,LA,USA,10,5,0,10,10,0,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Richmond,VA,USA,4,5,10,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Winter Garden,FL,USA,12,5,0,10,10,5,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Hellertown,PA,USA,10,5,10,10,10,5,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Hendersonville,TN,USA,2,0,0,0,10,0,5,5,0,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Burleson,TX,USA,7,5,10,10,0,0,0,0,0,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Fairburn,GA,USA,5,5,10,10,10,0,5,5,20,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Marietta,GA,USA,5,5,10,10,10,0,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Rockville Centre,NY,USA,6,5,10,10,10,0,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Coeur d'Alene ",ID,USA,3,5,10,10,10,0,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,10,10,10,5,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,0,10,10,0,5,5,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
WHITTIER,CA,USA,6,5,10,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,2,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Sandpoint ",ID,USA,4,5,10,10,10,0,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Miami,FL,USA,5,5,10,10,10,0,5,5,20,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Rowlett,TX,USA,8,5,10,10,10,5,5,0,20,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Miami,FL,USA,15,5,0,10,10,5,5,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,5,10,10,10,0,5,5,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,2,5,0,10,10,0,5,0,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Albuquerque ",NM,USA,9,5,10,10,10,0,5,0,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Beaumont,TX,USA,6,5,10,10,10,0,5,0,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Bend,OR,USA,7,5,10,0,0,0,0,0,0,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Peoria,IL,USA,5,0,0,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Frankfort,KY,USA,6,5,10,10,10,5,5,5,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
San Clemente,CA,USA,4,0,0,10,10,0,5,0,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Houston,TX,USA,5,5,10,10,10,5,5,5,20,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,10,5,10,10,10,0,5,5,20,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Campbell,CA,USA,7,0,0,10,10,0,5,5,20,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
SUGAR LAND,TX,USA,3,5,0,10,10,0,5,5,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Durango,CO,USA,6,5,10,10,10,0,5,5,20,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Moore,OK,USA,4,5,0,10,10,5,5,0,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,0,10,10,0,5,0,20,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,10,10,10,5,5,5,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Spanish Fort,AL,USA,12,5,10,10,10,0,5,5,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
