City,State,Country,NumUsers,PayrollLast90,HasAutoPilot,Sales45,GoalCheck,StaffSalaries,MarketingROISource,EmailReports,ActivityLast30,QuoteLast30,AvgNoLoginsDay30,SalesMixActive,ConsistencyActive,DecathlonActive,CompApplied,SalesTrackMod,ActivityTrackMod,BasicCompMod,CompUpTo10Mod,PremiumCompMod,PremiumBuilderMod,ROIMod,AspirantMod,EmailReportMod,PointsMod,VitalStatsMod,GoalsMod,BusinessUnitMod,ShowModifyCompPlanMod
"Waterdown ",ON,Canada,6,5,10,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Peterborough,ON,Canada,5,5,10,10,10,0,5,0,10,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,0,0,10,10,5,5,0,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
CALGARY,AB,Canada,10,5,10,10,10,0,5,5,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,0,10,10,0,5,0,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ridgeway,ON,Canada,5,5,10,10,10,0,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Columbia,SC,USA,6,5,10,0,0,0,0,5,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Sarnia,ON,Canada,5,5,10,10,10,0,5,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,5,10,0,0,0,0,0,0,0,0,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ottawa,ON,Canada,4,5,0,10,10,5,5,5,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,10,10,10,5,5,0,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Waterdown,ON,Canada,4,5,10,10,10,0,5,5,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ajax,ON,Canada,6,5,10,10,10,0,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,0,0,10,10,5,5,5,10,10,20,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
markham,ON,Canada,5,5,10,10,10,0,5,5,10,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Chatham,ON,Canada,4,5,10,10,10,0,5,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,9,0,0,10,10,0,5,5,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
STONEY CREEK,ON,Canada,4,5,10,10,10,5,5,0,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
edmonton,AB,Canada,7,5,10,10,10,0,5,0,10,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Oshawa,ON,Canada,3,5,0,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ancaster,ON,Canada,7,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"GORMLEY ",ON,Canada,13,5,10,10,10,0,5,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
MISSISSAUGA,ON,Canada,6,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,1,0,0,0,10,0,5,0,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Leesville,LA,USA,2,5,10,10,10,0,5,0,0,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Miami,FL,USA,3,5,10,0,0,0,0,5,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
St Albert,AB,Canada,7,0,0,10,10,5,5,5,10,0,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Woodbridge,ON,Canada,5,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,0,10,10,5,5,0,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Woodbridge,ON,Canada,5,5,10,10,10,5,5,5,10,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Livonia,MI,USA,2,0,0,10,10,0,5,5,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Concord,ON,Canada,3,0,0,10,10,5,5,0,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Brampton,ON,Canada,4,5,10,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,0,10,10,0,5,5,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
scarborough,ON,Canada,2,5,0,10,10,0,5,5,10,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Oakville,ON,Canada,5,5,10,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Mississauga,ON,Canada,5,5,10,10,10,5,5,5,10,10,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Toronto,ON,Canada,6,5,10,10,10,0,5,5,10,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ajax,ON,Canada,7,5,10,10,10,5,5,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Hayward,CA,USA,6,5,0,10,10,0,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,10,10,10,0,5,5,0,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Kitchener,ON,Canada,6,0,0,10,10,0,5,0,0,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Toronto,ON,Canada,4,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Lethbridge,AB,Canada,8,5,10,10,10,0,5,0,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Earrie,ON,Canada,3,5,10,10,10,0,5,5,0,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Aurora,ON,Canada,3,5,10,10,10,5,5,5,10,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Phelpston,ON,Canada,3,5,10,0,0,0,0,5,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,208,5,10,0,10,0,0,0,0,0,0,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Calgary,AB,Canada,5,5,0,10,10,0,5,5,10,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,28,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Welland,ON,Canada,5,5,10,10,10,5,5,5,10,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Bowmanville,ON,Canada,3,5,0,10,10,5,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Newmarket,ON,Canada,4,5,10,10,10,0,5,0,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Toronto,ON,Canada,5,5,10,10,10,0,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,7,5,10,10,10,0,5,0,10,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,0,0,10,10,5,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
King,ON,Canada,4,5,10,10,10,0,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,0,10,10,0,5,0,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
